,pm25,t2m,d2m,u10,v10,sp,t500,t850,t1000,q500,q850,q1000,u500,u850,u1000,v500,v850,v1000,w500,w850,w1000
2017-01-21 02:00:00,97.0,263.18285644404585,254.78721919599724,2.053778842289612,1.4614765889975727,99192.28093288878,242.54275617893012,262.8749366662344,267.6408695371537,0.00012213412877576726,0.0005526737061845727,0.0008617597608832957,34.85009914899559,10.801474967131004,2.046061347478396,2.872436151357099,-2.1783218890218894,1.8332991272385248,-0.32685556558978907,-0.2782217293880872,0.048976423810130176
2017-01-21 08:00:00,16.0,265.68668119959005,252.0913475653301,2.598601194572091,-3.678702952323959,99386.83915164879,243.77553005433012,258.99295419471764,268.185245567877,2.2489597759755425e-05,0.000506423603109216,0.0005959156724745403,30.51221840834171,9.817834274554869,3.7857651945025097,-17.869882492315266,-16.998348214022272,-6.049945317592705,-0.30534267774253343,1.0138386373013613,0.5680437946887857
2017-01-21 14:00:00,11.0,271.08051927544494,251.25806024361128,3.5821116746664354,-4.766799807019173,99413.74613934965,245.00962523077553,257.91609384268014,270.2451538977254,4.3170538159305674e-05,0.0006350214506845968,0.0006681109553238768,28.80665119203682,8.062958591655544,3.837602300409479,-22.265018026964796,-8.713843077714515,-5.157707170697725,-0.332923303187733,0.2697133627898773,0.494403524750103
2017-01-21 20:00:00,12.0,267.25597230116887,250.6414670244671,2.1340870721390424,-4.162440439707127,99898.95896151557,242.88761575179123,257.31358056595735,267.5047755294729,9.280479511822488e-05,0.00043159620057266375,0.0005229683554288551,22.875727684485863,9.104757988419985,3.301530766152048,-17.321722923615148,-14.962467801493947,-6.565570235632567,-0.19639920723399518,0.9862580118561617,0.5370615587720116
2017-01-22 02:00:00,24.0,263.59144821284576,250.3243056561533,1.6051848535271556,-2.185616573307953,99941.83273312682,240.3824289696279,257.6346567200004,267.0145728416129,0.00016800821475295054,0.0004936390217713128,0.0006105803393033106,21.458425349809968,7.941583904653863,2.4481149981714694,-13.000529776829843,-11.771114341274,-3.2411204772570152,-0.40233454389148515,0.49835674773058164,0.32993106167856295
2017-01-22 08:00:00,21.0,262.2248527668074,251.94951142546307,0.7175489562045971,-2.143117672607623,100060.4008877207,239.61078915908817,257.657118837773,265.53207306862384,0.00019846559970501318,0.0004977752098512221,0.0006098283051069638,24.282915461911617,8.269042695627153,1.061156335245995,-15.636822378815676,-10.244943455756397,-3.382103963451471,-0.06051865920731203,0.2896633485285716,0.27100045864398664
2017-01-22 14:00:00,26.0,271.95957832894663,253.69291397799535,0.636179384110461,0.2152588243437783,99770.63332786536,238.909178303957,259.0748748595352,269.9875001938637,0.00020974611265022272,0.0006346454335864234,0.0007624912469654573,21.163838869899635,6.914956343764633,0.5339350385824364,-17.548479579732103,-4.708137452483237,0.4047321937017001,0.16251666522620173,0.006594196042673528,0.025440956763559897
2017-01-22 20:00:00,68.0,267.14822355796053,255.11029040347216,-0.8730492878616527,1.3764787875969127,99901.91577335083,239.12058647122814,260.755569789341,270.78160212217597,0.00011386175261594682,0.0007045846138467177,0.00081250152102255,20.381225002670035,5.911086536688218,-0.9048607302500056,-19.19985957536646,-5.009822394969275,1.814567055646255,0.20885211597413694,-0.31177815701308,-0.06851704058641989
2017-01-23 02:00:00,31.0,262.8329397334287,255.57716769720113,-0.23129101056268087,-1.603756624013729,100014.86598545771,239.64382168522428,260.479417870843,267.03042845415825,0.0001010771712780436,0.0006481820491206734,0.0007865563412485701,23.840403582217984,5.755575218967313,-0.5672873820265778,-21.539396727390535,-2.877323928965029,-1.1687618200490055,0.3160488135378125,-0.4189748545767556,0.0403344945039677
2017-01-23 08:00:00,21.0,261.3628628211407,254.8935963008975,-0.08907114977205977,-1.0797076793486302,100060.4008877207,240.64272527558055,261.5139965894263,265.9192142749392,0.0003210471737096175,0.0006019319460453185,0.00084559102566183,20.994420035959784,6.383942088132273,0.04717197091943959,-16.571454161419478,-1.2535490914666503,-0.8513025014852671,0.17649084878510285,-0.08147993454566371,0.10101187048340671
2017-01-23 14:00:00,30.0,272.3414996167544,256.5897201401408,-0.8755257530993003,0.2646325472162203,99808.77620054019,240.64140397453508,263.83023732209097,269.92275644263685,0.00031691098562970643,0.0006432938268444172,0.0008937212142280538,24.672325916042016,6.358655695006922,-1.1337025880344278,-12.08758776133288,-0.4746892726301484,0.3169872267694869,-0.08763960756175826,0.04061030075841965,-0.052612213246354844
